0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
60   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /var/www/blacklight/search_app/jetty/contexts at interval 0
75   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /var/www/blacklight/search_app/jetty/contexts/solr.xml
2899 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
7296 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /var/www/blacklight/search_app/jetty/solr/blacklight-core/data
7305 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – New index directory detected: old=null new=/var/www/blacklight/search_app/jetty/solr/blacklight-core/data/index/
7306 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.SolrCore  – [blacklight-core] Solr index directory '/var/www/blacklight/search_app/jetty/solr/blacklight-core/data/index' doesn't exist. Creating new index...
7320 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CachingDirectoryFactory  – return new directory for /var/www/blacklight/search_app/jetty/solr/blacklight-core/data/index
7397 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=/var/www/blacklight/search_app/jetty/solr/blacklight-core/data/index,segFN=segments_1,generation=1}
7398 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
7541 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – no updateRequestProcessorChain defined as default, creating implicit default
7553 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: org.apache.solr.handler.UpdateRequestHandler
7554 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/json: org.apache.solr.handler.UpdateRequestHandler
7554 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/csv: org.apache.solr.handler.UpdateRequestHandler
7555 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
7555 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.ReplicationHandler
7565 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /replication: solr.ReplicationHandler
7569 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created standard: solr.StandardRequestHandler
7570 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – adding lazy requestHandler: solr.FieldAnalysisRequestHandler
7570 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /analysis/field: solr.FieldAnalysisRequestHandler
7572 [coreLoadExecutor-5-thread-1] WARN  org.apache.solr.core.RequestHandlers  – Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
7572 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /update: solr.UpdateRequestHandler
7574 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/: org.apache.solr.handler.admin.AdminHandlers
7577 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created /admin/ping: solr.PingRequestHandler
7587 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created search: solr.SearchHandler
7588 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created document: solr.SearchHandler
7588 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.RequestHandlers  – created advanced: solr.SearchHandler
7613 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
7616 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
7617 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
7618 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
7619 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.loader.XMLLoader  – xsltCacheLifetimeSeconds=60
7633 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – Hard AutoCommit: disabled
7634 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – Soft AutoCommit: disabled
7646 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=/var/www/blacklight/search_app/jetty/solr/blacklight-core/data/index,segFN=segments_1,generation=1}
7647 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrCore  – newest commit generation = 1
7664 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.search.SolrIndexSearcher  – Opening Searcher@6c865bc6[blacklight-core] main
7676 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – File-based storage initialized to use dir: /var/www/blacklight/search_app/jetty/solr/blacklight-core/conf
7676 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing RestManager with initArgs: {storageDir=/var/www/blacklight/search_app/jetty/solr/blacklight-core/conf}
7691 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Reading _rest_managed.json using file:dir=/var/www/blacklight/search_app/jetty/solr/blacklight-core/conf
7704 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResourceStorage  – Loaded LinkedHashMap at path _rest_managed.json using file:dir=/var/www/blacklight/search_app/jetty/solr/blacklight-core/conf
7704 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.ManagedResource  – Loaded initArgs {} for /rest/managed
7704 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.rest.RestManager  – Initializing 0 registered ManagedResources
7705 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Initializing spell checkers
7729 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Registering newSearcher listener for spellchecker: default
7738 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Registering newSearcher listener for spellchecker: author
7746 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Registering newSearcher listener for spellchecker: subject
7756 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – Registering newSearcher listener for spellchecker: title
7757 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.handler.component.SpellCheckComponent  – No queryConverter defined, using default converter
7781 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.CoreContainer  – registering core: blacklight-core
7782 [searcherExecutor-6-thread-1] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Registered new searcher Searcher@6c865bc6[blacklight-core] main{StandardDirectoryReader(segments_1:1:nrt)}
7786 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – user.dir=/var/www/blacklight/search_app/jetty
7786 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
7870 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
34692 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:509606, oai:dcollections.bc.edu:509572, oai:dcollections.bc.edu:210378, oai:dcollections.bc.edu:210498, oai:dcollections.bc.edu:210548, oai:dcollections.bc.edu:210534, oai:dcollections.bc.edu:450135, oai:dcollections.bc.edu:448839, oai:dcollections.bc.edu:127466, oai:dcollections.bc.edu:449293, ... (255 adds)]} 0 4390
35775 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:85586, oai:dcollections.bc.edu:104749, oai:dcollections.bc.edu:109617, oai:dcollections.bc.edu:103824, oai:dcollections.bc.edu:85692, oai:dcollections.bc.edu:197818, oai:dcollections.bc.edu:85304, oai:dcollections.bc.edu:102080, oai:dcollections.bc.edu:102108, oai:dcollections.bc.edu:197872, ... (252 adds)]} 0 1055
36648 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:413065, oai:dcollections.bc.edu:415317, oai:dcollections.bc.edu:504665, oai:dcollections.bc.edu:445105, oai:dcollections.bc.edu:413727, oai:dcollections.bc.edu:138055, oai:dcollections.bc.edu:517224, oai:dcollections.bc.edu:445661, oai:dcollections.bc.edu:206087, oai:dcollections.bc.edu:138327, ... (257 adds)]} 0 858
37373 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:414791, oai:dcollections.bc.edu:504841, oai:dcollections.bc.edu:103810, oai:dcollections.bc.edu:126784, oai:dcollections.bc.edu:305105, oai:dcollections.bc.edu:449051, oai:dcollections.bc.edu:103838, oai:dcollections.bc.edu:506666, oai:dcollections.bc.edu:305343, oai:dcollections.bc.edu:105289, ... (251 adds)]} 0 710
38102 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:208269, oai:dcollections.bc.edu:512034, oai:dcollections.bc.edu:231881, oai:dcollections.bc.edu:512044, oai:dcollections.bc.edu:209207, oai:dcollections.bc.edu:440964, oai:dcollections.bc.edu:510116, oai:dcollections.bc.edu:512221, oai:dcollections.bc.edu:439159, oai:dcollections.bc.edu:210268, ... (254 adds)]} 0 715
38706 [qtp802758144-11] INFO  org.apache.solr.update.processor.LogUpdateProcessor  – [blacklight-core] webapp=/solr path=/update params={} {add=[oai:dcollections.bc.edu:385721, oai:dcollections.bc.edu:312716, oai:dcollections.bc.edu:152562, oai:dcollections.bc.edu:137837, oai:dcollections.bc.edu:415127, oai:dcollections.bc.edu:226454, oai:dcollections.bc.edu:152572, oai:dcollections.bc.edu:137543, oai:dcollections.bc.edu:415161, oai:dcollections.bc.edu:312164, ... (251 adds)]} 0 588
